timestamp,cpu_percent,memory_mb,network_io_kb,energy_kwh,container_name,deployment_env
2026-08-25T00:24:54.772805,37.4236,2002.3141,314.84,0.00202711,web-frontend,cloud
2026-08-25T00:29:54.772805,38.9435,2088.5476,324.76,0.00210944,api-server,cloud
2026-08-25T00:34:54.772805,40.8179,2191.3661,337.98,0.00221097,web-frontend,cloud
2026-08-25T00:39:54.772805,45.6852,2100.6331,391.74,0.00247461,api-server,cloud
2026-08-25T00:44:54.772805,43.9601,2082.3409,357.93,0.00238117,api-server,cloud
2026-08-25T00:49:54.772805,40.0466,2093.5499,358.54,0.00216919,api-server,cloud
2026-08-25T00:54:54.772805,48.8964,2143.4218,426.7,0.00264855,api-server,cloud
2026-08-25T00:59:54.772805,47.9879,2083.3181,385.72,0.00259934,web-frontend,cloud
2026-08-25T01:04:54.772805,49.6322,2172.4987,439.74,0.00268841,web-frontend,cloud
2026-08-25T01:09:54.772805,52.3528,2200.5414,424.41,0.00283578,ml-inference,cloud
2026-08-25T01:14:54.772805,54.1482,2330.6364,445.68,0.00293303,api-server,cloud
2026-08-25T01:19:54.772805,59.1379,2288.7343,491.95,0.0032033,ml-inference,cloud
2026-08-25T01:24:54.772805,58.3042,2310.1118,475.96,0.00315814,ml-inference,cloud
2026-08-25T01:29:54.772805,57.238,2213.6773,458.49,0.00310039,web-frontend,cloud
2026-08-25T01:34:54.772805,54.8805,2317.3268,477.11,0.00297269,web-frontend,cloud
2026-08-25T01:39:54.772805,54.7281,2216.4347,441.84,0.00296444,web-frontend,cloud
2026-08-25T01:44:54.772805,60.636,2323.9655,489.86,0.00328445,web-frontend,cloud
2026-08-25T01:49:54.772805,65.6661,2345.1699,557.3,0.00355691,ml-inference,cloud
2026-08-25T01:54:54.772805,61.2636,2283.4018,498.43,0.00331844,api-server,cloud
2026-08-25T01:59:54.772805,61.248,2474.1889,532.44,0.0033176,ml-inference,cloud
2026-08-25T02:04:54.772805,64.2753,2395.9978,538.36,0.00348158,ml-inference,cloud
2026-08-25T02:09:54.772805,56.7055,2251.0348,460.11,0.00307155,web-frontend,cloud
2026-08-25T02:14:54.772805,61.537,2420.9681,492.5,0.00333325,api-server,cloud
2026-08-25T02:19:54.772805,64.9079,2371.9249,578.42,0.00351584,ml-inference,cloud
2026-08-25T02:24:54.772805,66.4936,2410.1267,533.74,0.00360174,web-frontend,cloud
2026-08-25T02:29:54.772805,61.984,2451.4994,521.34,0.00335747,web-frontend,cloud
2026-08-25T02:34:54.772805,64.2925,2457.9361,527.75,0.00348251,api-server,cloud
2026-08-25T02:39:54.772805,63.5125,2313.2757,536.49,0.00344026,ml-inference,cloud
2026-08-25T02:44:54.772805,65.2775,2380.0644,545.68,0.00353586,api-server,cloud
2026-08-25T02:49:54.772805,57.2204,2513.6254,478.53,0.00309944,api-server,cloud
2026-08-25T02:54:54.772805,63.37,2556.9895,520.46,0.00343254,api-server,cloud
2026-08-25T02:59:54.772805,54.3637,2604.5933,466.4,0.0029447,ml-inference,cloud
2026-08-25T03:04:54.772805,49.1709,2606.8078,395.32,0.00266342,web-frontend,cloud
2026-08-25T03:09:54.772805,56.3592,2367.9893,455.88,0.00305279,api-server,cloud
2026-08-25T03:14:54.772805,54.1706,2556.4457,456.9,0.00293424,api-server,cloud
2026-08-25T03:19:54.772805,60.3,2391.7197,489.71,0.00326625,ml-inference,cloud
2026-08-25T03:24:54.772805,58.3347,2624.2968,484.1,0.0031598,ml-inference,cloud
2026-08-25T03:29:54.772805,49.6073,2543.3982,409.68,0.00268706,web-frontend,cloud
2026-08-25T03:34:54.772805,56.6085,2459.7934,468.01,0.00306629,web-frontend,cloud
2026-08-25T03:39:54.772805,47.8804,2666.5871,394.13,0.00259352,api-server,cloud
2026-08-25T03:44:54.772805,50.155,2583.7682,428.64,0.00271673,api-server,cloud
2026-08-25T03:49:54.772805,47.8816,2425.5915,391.09,0.00259359,ml-inference,cloud
2026-08-25T03:54:54.772805,48.0248,2568.944,408.47,0.00260134,api-server,cloud
2026-08-25T03:59:54.772805,49.3105,2506.3684,400.8,0.00267099,ml-inference,cloud
2026-08-25T04:04:54.772805,47.0241,2562.7427,381.98,0.00254714,api-server,cloud
2026-08-25T04:09:54.772805,44.2768,2527.7621,356.79,0.00239833,ml-inference,cloud
2026-08-25T04:14:54.772805,43.8629,2646.8074,355.18,0.00237591,api-server,cloud
2026-08-25T04:19:54.772805,41.549,2468.6355,334.94,0.00225057,api-server,cloud
2026-08-25T04:24:54.772805,35.4921,2580.3139,299.29,0.00192249,api-server,cloud
2026-08-25T04:29:54.772805,33.4954,2675.8339,296.69,0.00181433,web-frontend,cloud
2026-08-25T04:34:54.772805,32.857,2505.9783,266.95,0.00177975,api-server,cloud
