date,software_component,sci_score,energy_kwh,carbon_intensity,embodied_carbon,functional_unit,deployment_env,region,notes
2026-06-27,ml-pipeline,25.3128,0.17245,56.0,5843.29,1000,cloud,FR,Iteration 1
2026-06-28,api-server,26.7491,0.55229,233.0,12076.22,1000,cloud,UK,Iteration 2
2026-06-29,web-frontend,28.2748,0.52686,56.0,14179.37,1000,cloud,FR,Iteration 3
2026-06-30,ml-pipeline,25.0143,0.37119,56.0,10978.86,1000,cloud,FR,Iteration 4
2026-07-01,ml-pipeline,23.6606,0.14614,233.0,11783.79,1000,cloud,UK,Iteration 5
2026-07-02,web-frontend,19.7,0.2989,233.0,5815.02,1000,cloud,UK,Iteration 6
2026-07-03,api-server,20.2088,0.31716,295.0,10950.41,1000,cloud,EU_avg,Iteration 7
2026-07-04,ml-pipeline,20.3861,0.7566,56.0,8766.79,1000,cloud,FR,Iteration 8
2026-07-05,ml-pipeline,25.2747,0.56908,233.0,11704.56,1000,cloud,UK,Iteration 9
2026-07-06,web-frontend,22.0458,0.45594,233.0,8088.66,1000,cloud,UK,Iteration 10
2026-07-07,api-server,24.6754,0.63631,233.0,14999.77,1000,cloud,UK,Iteration 11
2026-07-08,api-server,20.9679,0.20846,56.0,10076.9,1000,cloud,FR,Iteration 12
2026-07-09,ml-pipeline,17.6691,0.46857,56.0,6310.49,1000,cloud,FR,Iteration 13
2026-07-10,api-server,19.5787,0.3637,233.0,13313.45,1000,cloud,UK,Iteration 14
2026-07-11,api-server,21.8608,0.21588,295.0,9108.59,1000,cloud,EU_avg,Iteration 15
2026-07-12,web-frontend,20.108,0.57345,233.0,11105.95,1000,cloud,UK,Iteration 16
2026-07-13,web-frontend,22.9893,0.2638,233.0,14655.97,1000,cloud,UK,Iteration 17
2026-07-14,web-frontend,18.9928,0.64906,233.0,11783.07,1000,cloud,UK,Iteration 18
2026-07-15,ml-pipeline,18.1711,0.63861,295.0,10274.6,1000,cloud,EU_avg,Iteration 19
2026-07-16,ml-pipeline,17.6079,0.77639,233.0,6383.99,1000,cloud,UK,Iteration 20
2026-07-17,ml-pipeline,18.4363,0.71188,233.0,13458.92,1000,cloud,UK,Iteration 21
